contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
META231027C00335000,2023-09-29 19:57:31+00:00,335.0,4.3,4.2,4.4,-1.1499996,-21.100912,135.0,450,0.46191944335937507,False,REGULAR,USD
META231027C00340000,2023-09-29 19:56:29+00:00,340.0,3.35,3.35,3.55,-0.8499999,-20.238094,218.0,741,0.460515648803711,False,REGULAR,USD
META231027C00345000,2023-09-29 19:51:35+00:00,345.0,2.98,2.68,2.86,-0.44000006,-12.865499,49.0,196,0.4600884069824219,False,REGULAR,USD
META231027C00350000,2023-09-29 19:59:25+00:00,350.0,2.29,2.14,2.29,-0.6200001,-21.305845,58.0,383,0.4598442687988281,False,REGULAR,USD
META231027C00355000,2023-09-29 19:45:47+00:00,355.0,1.74,1.7,1.82,-0.3599999,-17.142853,119.0,388,0.4594780615234375,False,REGULAR,USD
META231027C00360000,2023-09-29 18:55:09+00:00,360.0,1.45,1.36,1.48,-0.49,-25.25773,23.0,266,0.4622856506347657,False,REGULAR,USD
META231027C00365000,2023-09-29 17:34:53+00:00,365.0,1.14,1.09,1.21,-0.38,-25.0,41.0,221,0.46594772338867196,False,REGULAR,USD
META231027C00370000,2023-09-29 19:07:02+00:00,370.0,0.98,0.87,0.96,-0.26,-20.967741,262.0,176,0.46655806884765627,False,REGULAR,USD
META231027C00375000,2023-09-29 19:12:40+00:00,375.0,0.8,0.7,0.88,-0.18,-18.367348,88.0,66,0.48120635986328125,False,REGULAR,USD
META231027C00380000,2023-09-29 17:52:36+00:00,380.0,0.59,0.56,0.64,-0.16000003,-21.333336,2.0,97,0.47412635253906255,False,REGULAR,USD
META231027C00385000,2023-09-29 18:34:01+00:00,385.0,0.47,0.45,0.62,-0.16,-25.396824,3.0,45,0.49219257812500006,False,REGULAR,USD
META231027C00390000,2023-09-29 14:56:21+00:00,390.0,0.53,0.37,0.44,0.24999997,89.2857,2.0,24,0.4836477416992188,False,REGULAR,USD
META231027C00395000,2023-09-29 16:09:09+00:00,395.0,0.4,0.3,0.37,-0.03999999,-9.090907,6.0,48,0.4892629199218751,False,REGULAR,USD
META231027C00400000,2023-09-29 13:51:47+00:00,400.0,0.44,0.24,0.32,0.060000002,15.7894745,85.0,141,0.49658706542968756,False,REGULAR,USD
META231027C00405000,2023-09-29 18:34:01+00:00,405.0,0.22,0.2,0.27,-0.060000002,-21.428572,1.0,44,0.5019581054687501,False,REGULAR,USD
META231027C00410000,2023-09-29 14:24:36+00:00,410.0,0.27,0.16,0.23,-0.00999999,-3.571425,1.0,28,0.507817421875,False,REGULAR,USD
META231027C00415000,2023-09-29 15:40:20+00:00,415.0,0.16,0.13,0.19,-0.09,-36.0,3.0,5,0.500005,False,REGULAR,USD
META231027C00420000,2023-09-27 14:08:29+00:00,420.0,0.18,0.1,0.17,0.0,0.0,4.0,137,0.5048877636718749,False,REGULAR,USD
META231027C00430000,2023-09-29 14:06:22+00:00,430.0,0.13,0.06,0.12,-0.02000001,-13.33334,2.0,2,0.5107470800781251,False,REGULAR,USD
META231027C00435000,2023-09-22 15:26:09+00:00,435.0,0.12,0.05,0.12,0.0,0.0,2.0,6,0.5214891601562499,False,REGULAR,USD
META231027C00445000,2023-09-25 13:58:16+00:00,445.0,0.1,0.03,0.1,0.0,0.0,5.0,5,0.534184345703125,False,REGULAR,USD
META231027C00450000,2023-09-18 14:33:46+00:00,450.0,0.08,0.02,0.09,0.0,0.0,,1,0.5390671093750001,False,REGULAR,USD
META231027C00455000,2023-09-18 14:33:56+00:00,455.0,0.07,0.01,0.07,0.0,0.0,,1,0.5351608984375,False,REGULAR,USD
META231027C00465000,2023-09-20 14:14:33+00:00,465.0,0.05,0.0,0.14,0.0,0.0,,20,0.5898478515625001,False,REGULAR,USD
META231027C00470000,2023-09-19 14:03:24+00:00,470.0,0.07,0.0,0.07,0.0,0.0,,2,0.5625043750000001,False,REGULAR,USD
META231027C00475000,2023-09-27 15:27:16+00:00,475.0,0.04,0.0,0.06,0.0,0.0,25.0,23,0.5664105859375,False,REGULAR,USD
META231027C00480000,2023-09-27 15:36:54+00:00,480.0,0.04,0.0,0.06,0.0,0.0,18.0,14,0.57812921875,False,REGULAR,USD
META231027C00490000,2023-09-14 13:37:45+00:00,490.0,0.06,0.0,0.05,0.0,0.0,,2,0.5937540625000001,False,REGULAR,USD
META231027C00500000,2023-09-18 14:33:28+00:00,500.0,0.01,0.0,0.05,0.0,0.0,1.0,2,0.6132851171875001,False,REGULAR,USD
META231027C00510000,2023-09-15 19:55:41+00:00,510.0,0.05,0.0,0.05,0.0,0.0,,1,0.632816171875,False,REGULAR,USD
META231027C00520000,2023-09-15 19:55:41+00:00,520.0,0.01,0.0,0.05,0.0,0.0,,1,0.6562534375000001,False,REGULAR,USD
META231027C00570000,2023-09-12 18:51:31+00:00,570.0,0.02,0.0,0.13,0.0,0.0,,1,0.8183611914062499,False,REGULAR,USD
