,strike,bid,ask
0,100.0,0.0,0.02
1,105.0,0.01,0.03
2,110.0,0.01,0.03
3,115.0,0.02,0.04
4,120.0,0.03,0.05
5,125.0,0.06,0.08
6,129.0,0.09,0.11
7,130.0,0.1,0.12
8,131.0,0.12,0.14
9,132.0,0.14,0.16
10,133.0,0.16,0.17
11,134.0,0.19,0.2
12,135.0,0.21,0.24
13,136.0,0.25,0.27
14,137.0,0.3,0.32
15,138.0,0.36,0.37
16,139.0,0.43,0.45
17,140.0,0.51,0.54
18,141.0,0.62,0.65
19,142.0,0.74,0.78
20,143.0,0.89,0.93
21,144.0,1.08,1.11
22,145.0,1.3,1.33
23,146.0,1.55,1.58
24,147.0,1.86,1.9
25,148.0,2.19,2.23
26,149.0,2.56,2.59
27,150.0,3.05,3.1
28,152.5,4.25,4.45
29,155.0,5.85,6.05
30,157.5,7.8,8.0
31,160.0,9.9,10.0
32,165.0,14.1,14.8
33,170.0,19.15,20.15
36,180.0,29.25,30.15
