,strike,bid,ask
1,80.0,69.95,70.85
4,110.0,40.1,41.1
5,120.0,30.15,31.1
6,125.0,25.25,26.2
7,126.0,24.25,25.15
8,127.0,23.3,24.0
9,128.0,22.15,23.05
10,130.0,20.4,20.9
11,131.0,19.6,19.95
12,132.0,18.45,18.85
13,133.0,17.5,17.95
14,134.0,16.2,17.1
15,135.0,15.6,16.0
16,136.0,14.35,14.95
17,137.0,13.65,13.95
18,138.0,12.6,13.05
19,139.0,11.65,11.95
20,140.0,10.75,10.95
21,141.0,9.8,10.4
22,142.0,8.85,9.0
23,143.0,7.95,8.1
24,144.0,7.05,7.2
25,145.0,6.15,6.35
26,146.0,5.4,5.55
27,147.0,4.65,4.75
28,148.0,4.0,4.05
29,149.0,3.35,3.45
30,150.0,2.79,2.83
31,152.5,1.7,1.71
32,155.0,0.97,0.98
33,157.5,0.52,0.54
34,160.0,0.29,0.3
35,162.5,0.17,0.18
36,165.0,0.11,0.12
37,167.5,0.07,0.08
38,170.0,0.05,0.06
39,172.5,0.03,0.04
40,175.0,0.03,0.04
41,177.5,0.02,0.03
42,180.0,0.02,0.03
43,185.0,0.01,0.02
44,190.0,0.0,0.01
45,195.0,0.0,0.01
46,200.0,0.0,0.0
47,225.0,0.0,0.0
