,strike,bid,ask
0,70.0,80.35,80.7
3,90.0,60.4,60.7
4,95.0,55.4,55.75
5,100.0,50.35,50.6
6,105.0,45.35,45.6
7,110.0,40.35,40.6
8,115.0,35.35,35.65
9,120.0,30.4,30.65
10,125.0,25.4,25.65
11,130.0,20.55,20.75
12,133.0,17.5,17.65
13,134.0,16.55,16.75
14,135.0,15.5,15.65
15,136.0,14.55,14.75
16,137.0,13.5,13.8
17,138.0,12.6,12.75
18,139.0,11.5,11.65
19,140.0,10.5,10.7
20,141.0,9.55,9.7
21,142.0,8.5,8.85
22,143.0,7.55,7.75
23,144.0,6.7,6.9
24,145.0,5.75,5.9
25,146.0,4.85,5.0
26,147.0,4.0,4.15
27,148.0,3.25,3.4
28,149.0,2.64,2.68
29,150.0,2.07,2.09
30,152.5,1.03,1.05
31,155.0,0.45,0.47
32,157.5,0.19,0.2
33,160.0,0.09,0.1
34,162.5,0.05,0.06
35,165.0,0.04,0.05
36,167.5,0.03,0.04
37,170.0,0.02,0.03
38,172.5,0.01,0.02
39,175.0,0.01,0.02
40,177.5,0.01,0.02
41,180.0,0.0,0.01
42,185.0,0.0,0.01
43,190.0,0.0,0.01
44,195.0,0.0,0.01
45,200.0,0.0,0.01
46,205.0,0.0,0.01
47,210.0,0.0,0.01
48,220.0,0.0,0.01
49,225.0,0.0,0.01
