,strike,bid,ask
0,85.0,0.0,0.01
1,90.0,0.0,0.01
2,95.0,0.0,0.01
3,100.0,0.0,0.01
4,105.0,0.0,0.01
5,110.0,0.0,0.02
6,115.0,0.01,0.02
7,120.0,0.02,0.03
8,125.0,0.03,0.05
9,128.0,0.04,0.06
10,129.0,0.05,0.07
11,130.0,0.06,0.07
12,131.0,0.07,0.08
13,132.0,0.08,0.09
14,133.0,0.09,0.1
15,134.0,0.1,0.12
16,135.0,0.12,0.14
17,136.0,0.15,0.16
18,137.0,0.17,0.18
19,138.0,0.2,0.22
20,139.0,0.24,0.26
21,140.0,0.31,0.32
22,141.0,0.38,0.39
23,142.0,0.46,0.49
24,143.0,0.59,0.62
25,144.0,0.74,0.77
26,145.0,0.93,0.96
27,146.0,1.14,1.16
28,147.0,1.44,1.44
29,148.0,1.75,1.79
30,149.0,2.16,2.2
31,150.0,2.57,2.6
32,152.5,3.95,4.0
33,155.0,5.55,5.7
34,157.5,7.55,7.75
35,160.0,9.65,9.85
36,162.5,11.75,12.35
38,167.5,16.7,17.7
41,177.5,26.7,27.65
