,strike,bid,ask
2,95.0,55.15,56.0
4,105.0,45.2,46.2
5,110.0,40.25,41.2
7,120.0,30.25,31.2
9,128.0,22.3,23.15
14,134.0,16.35,17.35
16,136.0,14.5,15.45
17,137.0,13.55,14.35
18,138.0,12.45,13.2
19,139.0,11.6,12.25
20,140.0,10.7,11.3
21,141.0,10.2,10.35
22,142.0,9.35,9.55
23,143.0,8.4,8.55
24,144.0,7.55,7.7
25,145.0,6.75,6.9
26,146.0,6.0,6.15
27,147.0,5.25,5.4
28,148.0,4.65,4.7
29,149.0,4.05,4.1
30,150.0,3.45,3.55
31,152.5,2.34,2.37
32,155.0,1.5,1.52
33,157.5,0.93,0.95
34,160.0,0.56,0.59
35,162.5,0.36,0.37
36,165.0,0.23,0.25
37,167.5,0.16,0.18
38,170.0,0.12,0.13
39,172.5,0.09,0.1
40,175.0,0.07,0.08
41,177.5,0.05,0.06
42,180.0,0.04,0.05
43,185.0,0.02,0.04
44,190.0,0.01,0.03
45,195.0,0.01,0.02
46,200.0,0.0,0.02
