,strike,bid,ask
0,70.0,0.0,0.16
1,80.0,0.0,0.01
2,85.0,0.0,0.01
3,90.0,0.0,0.01
4,95.0,0.0,0.01
5,100.0,0.0,0.01
6,105.0,0.0,0.01
7,110.0,0.0,0.01
8,115.0,0.0,0.01
9,120.0,0.0,0.01
10,125.0,0.0,0.01
11,130.0,0.01,0.02
12,133.0,0.01,0.02
13,134.0,0.01,0.02
14,135.0,0.02,0.03
15,136.0,0.02,0.03
16,137.0,0.02,0.03
17,138.0,0.03,0.04
18,139.0,0.04,0.05
19,140.0,0.05,0.06
20,141.0,0.06,0.07
21,142.0,0.08,0.09
22,143.0,0.1,0.11
23,144.0,0.16,0.17
24,145.0,0.23,0.23
25,146.0,0.34,0.35
26,147.0,0.5,0.51
27,148.0,0.71,0.73
28,149.0,1.05,1.06
29,150.0,1.48,1.49
30,152.5,2.92,2.95
31,155.0,4.75,4.9
32,157.5,7.1,7.3
33,160.0,9.55,9.7
34,162.5,12.05,12.25
35,165.0,14.4,14.65
36,167.5,17.05,17.2
37,170.0,19.45,19.65
38,180.0,29.5,29.8
39,185.0,34.45,34.75
41,205.0,54.5,54.8
