,strike,bid,ask
1,60.0,90.55,90.8
2,65.0,85.6,85.85
3,70.0,80.65,80.85
4,75.0,75.65,75.9
5,80.0,70.7,70.9
6,85.0,65.7,66.05
7,90.0,60.75,61.05
8,95.0,55.8,56.0
9,100.0,50.95,51.25
10,105.0,45.85,46.1
11,110.0,40.95,41.15
12,115.0,35.95,36.25
13,120.0,30.95,31.3
14,125.0,26.05,26.3
15,130.0,21.2,21.35
16,135.0,16.4,16.55
17,140.0,11.9,12.0
18,145.0,7.9,8.0
19,150.0,4.65,4.7
20,155.0,2.52,2.54
21,160.0,1.23,1.24
22,165.0,0.58,0.59
23,170.0,0.29,0.3
24,175.0,0.16,0.17
25,180.0,0.1,0.11
26,185.0,0.07,0.08
27,190.0,0.04,0.05
28,195.0,0.03,0.04
29,200.0,0.02,0.03
30,205.0,0.01,0.0
31,210.0,0.01,0.02
32,220.0,0.0,0.01
33,225.0,0.0,0.0
