,strike,bid,ask
69,485.0,76.7,77.55
85,540.0,23.45,24.05
86,545.0,19.25,19.85
87,550.0,15.2,15.95
88,555.0,12.1,12.35
89,560.0,9.2,9.45
90,565.0,7.0,7.2
91,570.0,5.05,5.3
92,575.0,3.75,3.9
93,580.0,2.72,2.85
94,585.0,1.97,2.03
95,590.0,1.42,1.48
96,595.0,1.04,1.09
97,600.0,0.75,0.78
98,605.0,0.55,0.59
99,610.0,0.4,0.42
100,615.0,0.29,0.32
101,620.0,0.21,0.23
102,625.0,0.15,0.17
103,630.0,0.11,0.13
104,635.0,0.08,0.1
105,640.0,0.05,0.07
106,645.0,0.04,0.06
107,650.0,0.02,0.03
108,655.0,0.02,0.04
109,660.0,0.01,0.03
110,665.0,0.0,0.03
111,670.0,0.0,0.02
112,675.0,0.0,0.02
113,680.0,0.0,0.02
114,685.0,0.0,0.02
115,690.0,0.0,0.02
116,695.0,0.0,0.01
117,700.0,0.0,0.01
118,705.0,0.0,0.01
119,710.0,0.0,0.01
120,715.0,0.0,0.01
121,720.0,0.0,0.01
122,725.0,0.0,0.01
123,730.0,0.0,0.01
124,735.0,0.0,0.01
125,740.0,0.0,0.01
126,745.0,0.0,0.01
