,strike,bid,ask
76,505.0,61.75,62.25
77,510.0,57.1,57.75
78,515.0,52.5,53.4
79,520.0,48.45,49.35
82,535.0,36.6,37.25
83,540.0,33.05,33.5
84,545.0,29.8,30.2
85,550.0,26.4,26.7
86,555.0,23.55,23.85
87,560.0,20.8,20.95
88,565.0,18.15,18.55
89,570.0,16.05,16.25
90,575.0,13.9,14.1
91,580.0,12.05,12.25
92,585.0,10.45,10.65
93,590.0,9.05,9.2
94,595.0,7.8,7.95
95,600.0,6.7,6.85
96,605.0,5.7,5.9
97,610.0,4.9,5.0
98,615.0,4.2,4.3
99,620.0,3.55,3.7
100,625.0,3.0,3.15
101,630.0,2.61,2.71
102,635.0,2.23,2.3
103,640.0,1.92,1.97
104,645.0,1.63,1.68
105,650.0,1.39,1.46
106,655.0,1.2,1.25
107,660.0,1.03,1.08
108,665.0,0.89,0.93
109,670.0,0.77,0.8
110,675.0,0.66,0.7
111,680.0,0.57,0.6
112,685.0,0.49,0.53
113,690.0,0.42,0.46
114,695.0,0.37,0.4
115,700.0,0.32,0.35
116,705.0,0.27,0.3
117,710.0,0.24,0.27
118,715.0,0.2,0.23
119,720.0,0.17,0.21
120,725.0,0.16,0.18
121,730.0,0.13,0.16
122,735.0,0.11,0.15
123,740.0,0.09,0.13
124,745.0,0.08,0.12
125,750.0,0.08,0.1
126,755.0,0.06,0.09
127,760.0,0.05,0.08
128,765.0,0.04,0.07
129,770.0,0.03,0.07
130,775.0,0.03,0.06
131,780.0,0.02,0.06
132,785.0,0.02,0.05
133,790.0,0.01,0.05
134,795.0,0.01,0.05
135,800.0,0.01,0.04
136,805.0,0.0,0.04
137,810.0,0.0,0.04
138,815.0,0.0,0.03
139,820.0,0.0,0.03
140,825.0,0.0,0.03
141,830.0,0.01,0.03
142,835.0,0.0,0.03
143,840.0,0.01,0.03
144,845.0,0.01,0.03
145,850.0,0.0,0.03
146,860.0,0.0,0.02
147,870.0,0.0,0.02
148,880.0,0.03,0.18
149,890.0,0.0,0.02
150,900.0,0.0,0.02
151,910.0,0.0,0.06
152,920.0,0.0,0.02
153,930.0,0.0,0.02
154,940.0,0.06,0.14
155,950.0,0.0,0.05
156,960.0,0.0,0.02
