,strike,bid,ask
30,530.0,34.15,34.8
31,535.0,29.6,30.45
32,540.0,25.7,26.3
33,545.0,21.9,22.5
34,550.0,18.35,18.75
35,555.0,15.15,15.7
36,560.0,12.4,12.65
37,565.0,10.05,10.25
38,570.0,8.15,8.3
39,575.0,6.4,6.65
40,580.0,5.05,5.2
41,585.0,4.05,4.15
42,590.0,3.2,3.35
43,595.0,2.53,2.63
44,600.0,2.0,2.07
45,605.0,1.58,1.64
46,610.0,1.25,1.32
47,615.0,0.98,1.03
48,620.0,0.78,0.83
49,625.0,0.61,0.66
50,630.0,0.48,0.53
51,635.0,0.38,0.42
52,640.0,0.31,0.34
53,650.0,0.19,0.22
54,660.0,0.12,0.14
55,670.0,0.07,0.1
56,680.0,0.04,0.07
